CAUSAL,BATCH,NUM_HEADS,SEQLEN_Q,SEQLEN_K,HEAD_SZ,Lean Attn (ms),MHA (ms)
True,1,64,8192,8192,128,4.018665,3.351802
True,2,64,8192,8192,128,8.965583,6.797071
True,2,64,16384,16384,128,36.434132,27.334850
False,2,64,8192,8192,128,2.345244,11.496118
False,2,64,16384,16384,128,4.960364,45.917952
False,1,64,128,16384,128,0.349414,0.896932
False,1,96,128,32768,128,0.941313,1.807668
True,1,64,8192,8192,128,4.158390,3.355397
True,2,64,8192,8192,128,9.492854,6.818126
True,1,64,16384,16384,128,18.075308,14.025606
False,2,48,16384,8192,128,2.316094,18.655930
